method,group,num_pages,num_predictions,num_ground_truth,true_positive,false_positive,false_negative,precision,recall,f1,mean_iou,reading_order_accuracy,complete_detection_rate,full_page_success_rate,mean_kendall_tau,mean_spearman_rho
rule_proposed,many_columns_>15,5,74,104,56,18,48,0.7567567567567568,0.5384615384615384,0.6292134831460674,0.8515756345039643,0.8666666666666666,0.0,0.0,0.7333333333333333,0.701662395850714
rule_proposed,ordinary_pages,9,109,149,76,33,73,0.6972477064220184,0.5100671140939598,0.5891472868217056,0.85247358697834,0.925925925925926,0.0,0.0,0.8518518518518519,0.8304005739474137
rule_proposed,has_ignore,10,103,141,67,36,74,0.6504854368932039,0.475177304964539,0.5491803278688525,0.8290228725032168,0.8962962962962963,0.0,0.0,0.7925925925925926,0.7913477140801394
rule_proposed,medium_columns_6_15,5,47,57,26,21,31,0.5531914893617021,0.45614035087719296,0.5,0.7962743747646479,0.9466666666666667,0.0,0.0,0.8933333333333333,0.9227634894935368
rule_proposed,rotated_pages,2,13,14,7,6,7,0.5384615384615384,0.5,0.5185185185185186,0.6009737411539015,0.7333333333333333,0.0,0.0,0.4666666666666667,0.64852426119453
rule_proposed,few_columns_<=5,1,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.603439522328292,,0.0,0.0,,
rule_proposed,no_ignore,1,19,22,16,3,6,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.8406422712947262,1.0,0.0,0.0,1.0,1.0
yolov8n,many_columns_>15,5,76,104,69,7,35,0.9078947368421053,0.6634615384615384,0.7666666666666667,0.76811076292794,0.8473992673992674,0.0,0.0,0.6947985347985349,0.6667811738162934
yolov8n,ordinary_pages,9,106,149,97,9,52,0.9150943396226415,0.6510067114093959,0.7607843137254902,0.7693408599238913,0.9112535612535613,0.0,0.0,0.8225071225071225,0.8027125994857719
yolov8n,has_ignore,10,89,141,81,8,60,0.9101123595505618,0.574468085106383,0.7043478260869566,0.7612064280072329,0.9223646723646723,0.0,0.0,0.8447293447293448,0.809443478329007
yolov8n,medium_columns_6_15,5,35,57,33,2,24,0.9428571428571428,0.5789473684210527,0.7173913043478262,0.7640306179555882,0.9928571428571429,0.0,0.0,0.9857142857142858,0.9536806198409729
yolov8n,rotated_pages,2,5,14,5,0,9,1.0,0.35714285714285715,0.5263157894736842,0.7173179243889549,1.0,0.0,0.0,1.0,0.8778955729143844
yolov8n,few_columns_<=5,1,0,2,0,0,2,0.0,0.0,0.0,0.0,,0.0,0.0,,
yolov8n,no_ignore,1,22,22,21,1,1,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.7883301126655421,0.9,0.0,0.0,0.8,0.8173176633252679
