iou,threshold,num_predictions,true_positive,false_positive,false_negative,precision,recall,f1,mean_iou,reading_order_accuracy
0.5,0.1,635,150,485,13,0.23622047244094488,0.9202453987730062,0.3759398496240602,0.7221397077573658,0.7876028246700918
0.5,0.15,474,144,330,19,0.3037974683544304,0.8834355828220859,0.45211930926216637,0.72746182405308,0.7914870631448173
0.5,0.2,386,142,244,21,0.36787564766839376,0.8711656441717791,0.517304189435337,0.7265324441498954,0.795601739318317
0.5,0.25,315,138,177,25,0.4380952380952381,0.8466257668711656,0.5774058577405857,0.727702198675077,0.797402389648379
0.5,0.3,279,136,143,27,0.4874551971326165,0.8343558282208589,0.6153846153846153,0.7269171853744062,0.8127024490660855
0.5,0.35,254,135,119,28,0.531496062992126,0.8282208588957055,0.6474820143884893,0.7267370773454349,0.8168150031786396
0.5,0.4,233,132,101,31,0.5665236051502146,0.8098159509202454,0.6666666666666666,0.7297675726191483,0.8265668674759585
0.5,0.45,202,132,70,31,0.6534653465346535,0.8098159509202454,0.7232876712328767,0.7297675726191483,0.8265668674759585
0.5,0.5,190,130,60,33,0.6842105263157895,0.7975460122699386,0.7365439093484419,0.7299971597688898,0.8254846163937074
0.5,0.55,171,128,43,35,0.7485380116959064,0.7852760736196319,0.7664670658682635,0.7296786107403643,0.8290305653942017
0.5,0.6,160,124,36,39,0.775,0.7607361963190185,0.7678018575851394,0.7324645416059714,0.8384822248458614
0.5,0.65,147,121,26,42,0.8231292517006803,0.7423312883435583,0.7806451612903227,0.7325626124819435,0.8384822248458614
0.5,0.7,138,118,20,45,0.855072463768116,0.7239263803680982,0.7840531561461794,0.7323969807651352,0.8512265512265512
0.5,0.75,132,115,17,48,0.8712121212121212,0.7055214723926381,0.7796610169491526,0.7331497155930228,0.8512265512265512
0.5,0.8,121,111,10,52,0.9173553719008265,0.6809815950920245,0.7816901408450705,0.7375126283769493,0.8597014097014098
0.5,0.85,105,100,5,63,0.9523809523809523,0.6134969325153374,0.7462686567164178,0.737439769853234,0.8674144037780401
0.5,0.9,78,77,1,86,0.9871794871794872,0.4723926380368098,0.6390041493775933,0.7493365151108652,0.9732748538011695
0.5,0.95,25,25,0,138,1.0,0.15337423312883436,0.26595744680851063,0.7585433350598225,1.0
0.75,0.1,635,50,585,113,0.07874015748031496,0.3067484662576687,0.12531328320802004,0.8246063439453016,0.8339743589743589
0.75,0.15,474,50,424,113,0.10548523206751055,0.3067484662576687,0.15698587127158556,0.8246063439453016,0.8339743589743589
0.75,0.2,386,49,337,114,0.12694300518134716,0.3006134969325153,0.17850637522768673,0.825795067315678,0.8381410256410257
0.75,0.25,315,49,266,114,0.15555555555555556,0.3006134969325153,0.20502092050209206,0.825795067315678,0.8381410256410257
0.75,0.3,279,47,232,116,0.16845878136200718,0.2883435582822086,0.21266968325791855,0.8276977040899329,0.9048076923076924
0.75,0.35,254,47,207,116,0.18503937007874016,0.2883435582822086,0.22541966426858512,0.8276977040899329,0.9048076923076924
0.75,0.4,233,47,186,116,0.2017167381974249,0.2883435582822086,0.23737373737373738,0.8276977040899329,0.9048076923076924
0.75,0.45,202,47,155,116,0.23267326732673269,0.2883435582822086,0.25753424657534246,0.8276977040899329,0.9048076923076924
0.75,0.5,190,47,143,116,0.24736842105263157,0.2883435582822086,0.2662889518413598,0.8276977040899329,0.9048076923076924
0.75,0.55,171,46,125,117,0.26900584795321636,0.2822085889570552,0.27544910179640714,0.8290494927689968,0.9173076923076924
0.75,0.6,160,46,114,117,0.2875,0.2822085889570552,0.28482972136222906,0.8290494927689968,0.9173076923076924
0.75,0.65,147,45,102,118,0.30612244897959184,0.27607361963190186,0.2903225806451613,0.8276664947005252,0.9173076923076924
0.75,0.7,138,44,94,119,0.3188405797101449,0.26993865030674846,0.29235880398671094,0.8289349458646168,0.9423076923076923
0.75,0.75,132,44,88,119,0.3333333333333333,0.26993865030674846,0.2983050847457627,0.8289349458646168,0.9423076923076923
0.75,0.8,121,43,78,120,0.35537190082644626,0.26380368098159507,0.3028169014084507,0.830404885528447,0.9423076923076923
0.75,0.85,105,39,66,124,0.37142857142857144,0.2392638036809816,0.29104477611940305,0.8272027192033136,0.858974358974359
0.75,0.9,78,35,43,128,0.44871794871794873,0.2147239263803681,0.29045643153526973,0.8299055051360854,0.8579545454545454
0.75,0.95,25,13,12,150,0.52,0.07975460122699386,0.13829787234042554,0.8216323596842536,1.0
