page_id,split,width,height,valid_columns,ignore_regions,rotated_or_corrected,mean_col_width,mean_col_height
80-48-61-2,train_unlabeled,6794,4830,18,3,False,256.8888888888889,3165.8333333333335
80-48-61-3,train_unlabeled,6794,4830,1,3,False,215.0,3677.0
80-48-62-1(2),train_unlabeled,4830,6794,12,2,True,324.9166666666667,3509.4166666666665
80-48-62-1(3),train_unlabeled,4830,6794,6,2,True,290.6666666666667,3254.8333333333335
80-48-63-1,train_unlabeled,7396,9594,17,3,True,293.47058823529414,3430.4117647058824
80-48-63-2,train_unlabeled,7396,9594,3,0,True,366.0,5439.666666666667
80-48-64-1(1),train_unlabeled,6794,4830,21,2,False,228.0,2368.6666666666665
80-48-64-1(2),train_unlabeled,6794,4830,4,2,False,250.5,2437.5
80-48-65-1(3),train_unlabeled,6794,4830,17,2,False,220.58823529411765,3278.5882352941176
80-48-65-1(4),train_unlabeled,6794,4830,1,2,False,384.0,3654.0
80-48-66-1(2),train_unlabeled,6794,4830,15,6,False,249.26666666666668,3118.866666666667
80-48-67-1,train_unlabeled,6794,4830,14,9,False,226.21428571428572,1855.5714285714287
80-48-67-2,train_unlabeled,6794,4830,22,0,False,246.0909090909091,3474.5
80-48-67-3,train_unlabeled,6794,4830,20,5,False,249.35,3553.3
80-48-67-4,train_unlabeled,6794,4830,20,5,False,262.05,3395.75
80-48-67-5,train_unlabeled,6794,4830,21,3,False,251.61904761904762,3488.095238095238
80-48-68-1,train_unlabeled,6794,4830,17,8,False,256.94117647058823,2117.529411764706
80-48-68-2,train_unlabeled,6794,4830,6,3,False,284.1666666666667,2398.8333333333335
80-48-69-1,train_unlabeled,4830,6794,13,7,True,232.3846153846154,1386.923076923077
80-48-69-2,train_unlabeled,4830,6794,13,2,True,289.84615384615387,3516.4615384615386
80-48-69-3,train_unlabeled,4836,6800,6,0,True,310.3333333333333,3198.0
80-48-70-3,train_unlabeled,6794,4830,22,0,False,244.5,3536.2272727272725
80-48-71-1,train_unlabeled,7396,9594,18,3,True,288.6111111111111,2710.722222222222
80-48-71-2,train_unlabeled,7396,9592,12,0,True,332.4166666666667,5273.0
80-48-72-1,train_unlabeled,4830,6794,21,0,True,272.5238095238095,1778.952380952381
80-48-72-3,train_unlabeled,6794,4830,22,0,False,264.0,3218.090909090909
80-48-72-4,train_unlabeled,6794,4830,16,0,False,278.125,3115.3125
80-48-72-6,train_unlabeled,6794,4830,16,0,False,291.5,3291.0625
80-48-73-2,train_unlabeled,6794,4830,13,3,False,257.53846153846155,3016.3076923076924
80-48-74-1,train_unlabeled,7396,9594,21,1,True,275.8095238095238,3473.904761904762
80-48-75-1,train_unlabeled,7396,9594,15,0,True,354.1333333333333,4887.133333333333
80-48-75-2,train_unlabeled,7396,9594,4,0,True,363.5,2850.25
80-48-76-1,train_unlabeled,6794,4830,20,2,False,265.3,3426.95
80-48-76-2,train_unlabeled,6794,4830,23,0,False,252.47826086956522,3422.6521739130435
80-48-76-3,train_unlabeled,6794,4830,21,1,False,230.71428571428572,1656.5238095238096
80-48-78-1,train_unlabeled,6794,4830,23,0,False,232.47826086956522,2676.2608695652175
80-48-78-2,train_unlabeled,6794,4830,25,0,False,238.76,2795.2
80-48-78-4,train_unlabeled,6794,4830,4,0,False,193.0,2049.0
80-48-79-1,train_unlabeled,6794,4830,23,0,False,271.6521739130435,3034.521739130435
80-48-79-2,train_unlabeled,6794,4830,23,0,False,282.6521739130435,3317.3478260869565
80-48-79-3,train_unlabeled,6794,4830,6,0,False,318.3333333333333,3441.5
80-48-80-1,train_unlabeled,6794,4830,26,5,False,239.65384615384616,1672.8846153846155
80-48-80-2,train_unlabeled,6794,4830,19,0,False,255.21052631578948,3291.8947368421054
80-48-65-1(2),val,6794,4830,6,9,False,246.0,2363.1666666666665
80-48-67-6,val,6794,4830,22,0,False,244.36363636363637,3573.2272727272725
80-48-67-7,val,6794,4830,10,3,False,221.8,3185.4
80-48-74-2,val,7396,9592,22,0,True,322.3636363636364,2464.5454545454545
80-48-77-1,val,6794,4830,10,4,False,260.6,2921.6
80-48-77-2,val,6794,4830,7,0,False,288.57142857142856,3264.8571428571427
80-48-78-3,val,6794,4830,27,0,False,216.4814814814815,2379.5925925925926
80-48-80-3,val,6794,4830,4,3,False,271.25,2983.0
80-48-61-1,test,6794,4830,26,6,False,215.8846153846154,1798.3846153846155
80-48-62-1(1),test,4830,6794,12,5,True,270.0,1656.5833333333333
80-48-65-1(1),test,6794,4830,20,7,False,251.4,2629.45
80-48-66-1(1),test,6794,4830,12,5,False,205.08333333333334,1765.4166666666667
80-48-69-4,test,4836,6800,2,2,True,240.0,2486.0
80-48-70-1,test,6794,4830,13,7,False,215.3846153846154,1532.5384615384614
80-48-70-2,test,6794,4830,22,0,False,228.6818181818182,3496.5454545454545
80-48-70-4,test,6794,4830,10,3,False,243.5,3102.5
80-48-72-2,test,6794,4830,10,7,False,239.2,1756.5
80-48-72-5,test,6794,4830,16,2,False,253.375,3124.3125
80-48-73-1,test,6794,4830,20,6,False,221.3,1254.7
