page_id,split,width,height,valid_columns,ignore_regions,rotated_or_corrected,mean_col_width,mean_col_height
80-48-61-2,train_unlabeled,6794,4830,19,2,False,259.63157894736844,3203.7368421052633
80-48-61-3,train_unlabeled,6794,4830,1,3,False,215.0,3677.0
80-48-62-1(2),train_unlabeled,4830,6794,13,1,True,325.53846153846155,3542.4615384615386
80-48-62-1(3),train_unlabeled,4830,6794,6,2,True,290.6666666666667,3254.8333333333335
80-48-63-1,train_unlabeled,7396,9594,15,2,True,315.8,4556.6
80-48-63-2,train_unlabeled,7396,9594,3,0,True,366.0,5439.666666666667
80-48-64-1(1),train_unlabeled,6794,4830,19,1,False,245.8421052631579,3071.7894736842104
80-48-64-1(2),train_unlabeled,6794,4830,4,2,False,250.5,2437.5
80-48-65-1(3),train_unlabeled,6794,4830,17,2,False,220.58823529411765,3278.5882352941176
80-48-65-1(4),train_unlabeled,6794,4830,1,2,False,384.0,3654.0
80-48-66-1(2),train_unlabeled,6794,4830,15,6,False,249.26666666666668,3118.866666666667
80-48-67-1,train_unlabeled,6794,4830,15,8,False,218.4,1839.6
80-48-67-2,train_unlabeled,6794,4830,22,0,False,246.0909090909091,3474.5
80-48-67-3,train_unlabeled,6794,4830,21,4,False,250.1904761904762,3550.5238095238096
80-48-67-4,train_unlabeled,6794,4830,21,4,False,258.42857142857144,3403.4285714285716
80-48-67-5,train_unlabeled,6794,4830,22,2,False,250.72727272727272,3502.1363636363635
80-48-68-1,train_unlabeled,6794,4830,19,5,False,273.2631578947368,2807.1052631578946
80-48-68-2,train_unlabeled,6794,4830,6,3,False,284.1666666666667,2398.8333333333335
80-48-69-1,train_unlabeled,4830,6794,12,6,True,243.66666666666666,1830.5
80-48-69-2,train_unlabeled,4830,6794,13,1,True,297.46153846153845,3627.153846153846
80-48-69-3,train_unlabeled,4836,6800,6,0,True,310.3333333333333,3198.0
80-48-70-3,train_unlabeled,6794,4830,22,0,False,244.5,3536.2272727272725
80-48-71-1,train_unlabeled,7396,9594,16,3,True,307.0,3044.375
80-48-71-2,train_unlabeled,7396,9592,12,0,True,332.4166666666667,5273.0
80-48-72-1,train_unlabeled,4830,6794,12,0,True,308.75,3108.8333333333335
80-48-72-3,train_unlabeled,6794,4830,22,0,False,264.0,3218.090909090909
80-48-72-4,train_unlabeled,6794,4830,16,0,False,278.125,3115.3125
80-48-72-6,train_unlabeled,6794,4830,16,0,False,291.5,3291.0625
80-48-73-2,train_unlabeled,6794,4830,13,3,False,257.53846153846155,3016.3076923076924
80-48-74-1,train_unlabeled,7396,9594,21,1,True,293.95238095238096,2818.3809523809523
80-48-75-1,train_unlabeled,7396,9594,15,0,True,354.1333333333333,4887.133333333333
80-48-75-2,train_unlabeled,7396,9594,4,0,True,363.5,2850.25
80-48-76-1,train_unlabeled,6794,4830,21,1,False,262.9047619047619,3432.3809523809523
80-48-76-2,train_unlabeled,6794,4830,23,0,False,252.47826086956522,3422.6521739130435
80-48-76-3,train_unlabeled,6794,4830,12,1,False,298.5,2922.5833333333335
80-48-78-1,train_unlabeled,6794,4830,24,0,False,231.5,2591.9583333333335
80-48-78-2,train_unlabeled,6794,4830,25,0,False,238.76,2795.2
80-48-78-4,train_unlabeled,6794,4830,4,0,False,193.0,2049.0
80-48-79-1,train_unlabeled,6794,4830,23,0,False,271.6521739130435,3005.391304347826
80-48-79-2,train_unlabeled,6794,4830,23,0,False,282.6521739130435,3317.3478260869565
80-48-79-3,train_unlabeled,6794,4830,6,0,False,318.3333333333333,3441.5
80-48-80-1,train_unlabeled,6794,4830,18,2,False,258.44444444444446,3182.3333333333335
80-48-80-2,train_unlabeled,6794,4830,19,0,False,255.21052631578948,3291.8947368421054
80-48-65-1(2),val,6794,4830,17,3,False,247.58823529411765,2650.470588235294
80-48-67-6,val,6794,4830,22,0,False,244.36363636363637,3573.2272727272725
80-48-67-7,val,6794,4830,10,3,False,221.8,3185.4
80-48-74-2,val,7396,9592,12,0,True,395.5,4548.0
80-48-77-1,val,6794,4830,17,2,False,263.6470588235294,2944.0588235294117
80-48-77-2,val,6794,4830,7,0,False,288.57142857142856,3264.8571428571427
80-48-78-3,val,6794,4830,25,0,False,221.76,2547.36
80-48-80-3,val,6794,4830,5,2,False,254.2,2926.4
80-48-61-1,test,6794,4830,18,6,False,251.5,2625.8333333333335
80-48-62-1(1),test,4830,6794,12,5,True,270.0,1656.5833333333333
80-48-65-1(1),test,6794,4830,20,7,False,251.4,2611.05
80-48-66-1(1),test,6794,4830,13,4,False,204.76923076923077,1704.923076923077
80-48-69-4,test,4836,6800,2,2,True,240.0,2486.0
80-48-70-1,test,6794,4830,13,6,False,218.0,1819.2307692307693
80-48-70-2,test,6794,4830,22,0,False,228.6818181818182,3496.5454545454545
80-48-70-4,test,6794,4830,10,3,False,243.5,3102.5
80-48-72-2,test,6794,4830,11,6,False,242.72727272727272,1907.5454545454545
80-48-72-5,test,6794,4830,17,1,False,258.11764705882354,3147.764705882353
80-48-73-1,test,6794,4830,14,5,False,244.64285714285714,2007.0714285714287
