method,score_threshold,iou_threshold,num_pages,num_predictions,num_ground_truth,true_positive,false_positive,false_negative,precision,recall,f1,mean_iou,reading_order_accuracy
YOLOv8n + rotation-aware order,0.0,0.5,11,3201,152,151,3050,1,0.0471727585129647,0.993421052631579,0.09006859528780198,0.7777517654237334,0.8209366391184574
YOLOv8n + rotation-aware order,0.05,0.5,11,365,152,146,219,6,0.4,0.9605263157894737,0.5647969052224371,0.7706779813343143,0.8209366391184574
YOLOv8n + rotation-aware order,0.1,0.5,11,249,152,144,105,8,0.5783132530120482,0.9473684210526315,0.7182044887780549,0.7653331557276546,0.8209366391184574
YOLOv8n + rotation-aware order,0.15,0.5,11,201,152,142,59,10,0.7064676616915423,0.9342105263157895,0.8045325779036827,0.7616068777215187,0.8209366391184574
YOLOv8n + rotation-aware order,0.2,0.5,11,175,152,140,35,12,0.8,0.9210526315789473,0.8562691131498472,0.7584500641405904,0.8209366391184574
YOLOv8n + rotation-aware order,0.25,0.5,11,151,152,133,18,19,0.8807947019867549,0.875,0.877887788778878,0.7607415917133623,0.8202020202020202
YOLOv8n + rotation-aware order,0.3,0.5,11,126,152,118,8,34,0.9365079365079365,0.7763157894736842,0.8489208633093525,0.761296390078235,0.8181818181818182
YOLOv8n + rotation-aware order,0.35,0.5,11,114,152,109,5,43,0.956140350877193,0.7171052631578947,0.819548872180451,0.7699012596379484,0.9
YOLOv8n + rotation-aware order,0.4,0.5,11,100,152,99,1,53,0.99,0.6513157894736842,0.7857142857142857,0.7756116902153265,0.9
YOLOv8n + rotation-aware order,0.45,0.5,11,85,152,84,1,68,0.9882352941176471,0.5526315789473685,0.7088607594936709,0.7809627732620416,0.9
YOLOv8n + rotation-aware order,0.5,0.5,11,64,152,63,1,89,0.984375,0.4144736842105263,0.5833333333333334,0.7815961784686205,1.0
YOLOv8n + rotation-aware order,0.55,0.5,11,44,152,44,0,108,1.0,0.2894736842105263,0.4489795918367347,0.7901545963396757,1.0
YOLOv8n + rotation-aware order,0.6,0.5,11,31,152,31,0,121,1.0,0.20394736842105263,0.33879781420765026,0.7827621703372416,1.0
YOLOv8n + rotation-aware order,0.65,0.5,11,13,152,13,0,139,1.0,0.08552631578947369,0.1575757575757576,0.8132725308068083,1.0
YOLOv8n + rotation-aware order,0.7,0.5,11,2,152,2,0,150,1.0,0.013157894736842105,0.025974025974025976,0.760692144065066,
YOLOv8n + rotation-aware order,0.75,0.5,11,0,152,0,0,152,0.0,0.0,0.0,0.0,
YOLOv8n + rotation-aware order,0.8,0.5,11,0,152,0,0,152,0.0,0.0,0.0,0.0,
YOLOv8n + rotation-aware order,0.85,0.5,11,0,152,0,0,152,0.0,0.0,0.0,0.0,
YOLOv8n + rotation-aware order,0.9,0.5,11,0,152,0,0,152,0.0,0.0,0.0,0.0,
YOLOv8n + rotation-aware order,0.95,0.5,11,0,152,0,0,152,0.0,0.0,0.0,0.0,
YOLOv8n + rotation-aware order,0.0,0.75,11,3201,152,104,3097,48,0.032489846922836615,0.6842105263157895,0.06203399940351924,0.8201022904033393,0.8272727272727273
YOLOv8n + rotation-aware order,0.05,0.75,11,365,152,92,273,60,0.25205479452054796,0.6052631578947368,0.35589941972920697,0.8227695014200108,0.9166666666666667
YOLOv8n + rotation-aware order,0.1,0.75,11,249,152,88,161,64,0.3534136546184739,0.5789473684210527,0.43890274314214467,0.822307542044852,0.9166666666666667
YOLOv8n + rotation-aware order,0.15,0.75,11,201,152,84,117,68,0.417910447761194,0.5526315789473685,0.47592067988668557,0.8220818025833709,0.9166666666666667
YOLOv8n + rotation-aware order,0.2,0.75,11,175,152,82,93,70,0.4685714285714286,0.5394736842105263,0.5015290519877675,0.82103376490076,0.9166666666666667
YOLOv8n + rotation-aware order,0.25,0.75,11,151,152,78,73,74,0.5165562913907285,0.5131578947368421,0.514851485148515,0.82257110042074,0.9333333333333332
YOLOv8n + rotation-aware order,0.3,0.75,11,126,152,68,58,84,0.5396825396825397,0.4473684210526316,0.4892086330935252,0.8262702283568506,1.0
YOLOv8n + rotation-aware order,0.35,0.75,11,114,152,66,48,86,0.5789473684210527,0.4342105263157895,0.49624060150375954,0.8262789933387086,1.0
YOLOv8n + rotation-aware order,0.4,0.75,11,100,152,62,38,90,0.62,0.40789473684210525,0.49206349206349215,0.8275663743166654,1.0
YOLOv8n + rotation-aware order,0.45,0.75,11,85,152,54,31,98,0.6352941176470588,0.35526315789473684,0.45569620253164556,0.8317046026726632,1.0
YOLOv8n + rotation-aware order,0.5,0.75,11,64,152,44,20,108,0.6875,0.2894736842105263,0.4074074074074074,0.8257880663854049,1.0
YOLOv8n + rotation-aware order,0.55,0.75,11,44,152,31,13,121,0.7045454545454546,0.20394736842105263,0.31632653061224486,0.8290165815160803,1.0
YOLOv8n + rotation-aware order,0.6,0.75,11,31,152,21,10,131,0.6774193548387096,0.13815789473684212,0.2295081967213115,0.8239870468426728,1.0
YOLOv8n + rotation-aware order,0.65,0.75,11,13,152,11,2,141,0.8461538461538461,0.07236842105263158,0.13333333333333336,0.8271533653261138,1.0
YOLOv8n + rotation-aware order,0.7,0.75,11,2,152,2,0,150,1.0,0.013157894736842105,0.025974025974025976,0.760692144065066,
YOLOv8n + rotation-aware order,0.75,0.75,11,0,152,0,0,152,0.0,0.0,0.0,0.0,
YOLOv8n + rotation-aware order,0.8,0.75,11,0,152,0,0,152,0.0,0.0,0.0,0.0,
YOLOv8n + rotation-aware order,0.85,0.75,11,0,152,0,0,152,0.0,0.0,0.0,0.0,
YOLOv8n + rotation-aware order,0.9,0.75,11,0,152,0,0,152,0.0,0.0,0.0,0.0,
YOLOv8n + rotation-aware order,0.95,0.75,11,0,152,0,0,152,0.0,0.0,0.0,0.0,
Faster R-CNN,0.0,0.5,11,647,152,147,500,5,0.22720247295208656,0.9671052631578947,0.3679599499374218,0.723537039399182,0.8209366391184574
Faster R-CNN,0.05,0.5,11,647,152,147,500,5,0.22720247295208656,0.9671052631578947,0.3679599499374218,0.723537039399182,0.8209366391184574
Faster R-CNN,0.1,0.5,11,647,152,147,500,5,0.22720247295208656,0.9671052631578947,0.3679599499374218,0.723537039399182,0.8209366391184574
Faster R-CNN,0.15,0.5,11,485,152,141,344,11,0.2907216494845361,0.9276315789473685,0.44270015698587134,0.7294105302469316,0.8214876033057851
Faster R-CNN,0.2,0.5,11,396,152,141,255,11,0.3560606060606061,0.9276315789473685,0.5145985401459855,0.7285592592885506,0.8214876033057851
Faster R-CNN,0.25,0.5,11,325,152,140,185,12,0.4307692307692308,0.9210526315789473,0.5870020964360587,0.7269748562590544,0.8214876033057851
Faster R-CNN,0.3,0.5,11,288,152,138,150,14,0.4791666666666667,0.9078947368421053,0.6272727272727273,0.7261906787683061,0.8214876033057851
Faster R-CNN,0.35,0.5,11,262,152,137,125,15,0.5229007633587787,0.9013157894736842,0.6618357487922706,0.7247288257562859,0.8214876033057851
Faster R-CNN,0.4,0.5,11,241,152,135,106,17,0.5601659751037344,0.8881578947368421,0.6870229007633587,0.7269441002397179,0.8214876033057851
Faster R-CNN,0.45,0.5,11,209,152,133,76,19,0.6363636363636364,0.875,0.7368421052631579,0.7292414987500804,0.8214876033057851
Faster R-CNN,0.5,0.5,11,197,152,131,66,21,0.6649746192893401,0.8618421052631579,0.7507163323782234,0.7294613016640364,0.8214876033057851
Faster R-CNN,0.55,0.5,11,178,152,130,48,22,0.7303370786516854,0.8552631578947368,0.7878787878787878,0.7294167488280979,0.8222222222222222
Faster R-CNN,0.6,0.5,11,167,152,127,40,25,0.7604790419161677,0.8355263157894737,0.7962382445141065,0.7315038803259996,0.8214285714285713
Faster R-CNN,0.65,0.5,11,152,152,123,29,29,0.8092105263157895,0.8092105263157895,0.8092105263157895,0.7309958422653231,0.8214285714285713
Faster R-CNN,0.7,0.5,11,143,152,122,21,30,0.8531468531468531,0.8026315789473685,0.8271186440677967,0.7309542343144163,0.8214285714285713
Faster R-CNN,0.75,0.5,11,137,152,119,18,33,0.8686131386861314,0.7828947368421053,0.823529411764706,0.7316452953720206,0.8214285714285713
Faster R-CNN,0.8,0.5,11,125,152,114,11,38,0.912,0.75,0.8231046931407944,0.7376636287480502,0.8181818181818182
Faster R-CNN,0.85,0.5,11,107,152,103,4,49,0.9626168224299065,0.6776315789473685,0.7953667953667953,0.7389991314006626,0.8181818181818182
Faster R-CNN,0.9,0.5,11,80,152,79,1,73,0.9875,0.5197368421052632,0.6810344827586208,0.745547125515918,0.9
Faster R-CNN,0.95,0.5,11,27,152,27,0,125,1.0,0.17763157894736842,0.3016759776536313,0.7550366897246429,1.0
Faster R-CNN,0.0,0.75,11,647,152,49,598,103,0.07573415765069552,0.3223684210526316,0.12265331664580727,0.8257461595906435,1.0
Faster R-CNN,0.05,0.75,11,647,152,49,598,103,0.07573415765069552,0.3223684210526316,0.12265331664580727,0.8257461595906435,1.0
Faster R-CNN,0.1,0.75,11,647,152,49,598,103,0.07573415765069552,0.3223684210526316,0.12265331664580727,0.8257461595906435,1.0
Faster R-CNN,0.15,0.75,11,485,152,49,436,103,0.10103092783505155,0.3223684210526316,0.15384615384615383,0.8257461595906435,1.0
Faster R-CNN,0.2,0.75,11,396,152,49,347,103,0.12373737373737374,0.3223684210526316,0.17883211678832117,0.8257461595906435,1.0
Faster R-CNN,0.25,0.75,11,325,152,49,276,103,0.15076923076923077,0.3223684210526316,0.20545073375262055,0.8257461595906435,1.0
Faster R-CNN,0.3,0.75,11,288,152,47,241,105,0.16319444444444445,0.3092105263157895,0.21363636363636365,0.8276467151851097,1.0
